input log file location, C:\Users\qc_de\AppData\Local\Temp\quad-bench\out\part1_of_4_token_ar1_cl2048_1_of_4\qnn-profiling-data_0.log
qnn-profile-viewer version, v2.32.6.250402152434_116405
qnn-net-run version, v2.32.6.250402152434_116405
Backend version, v2.45.0.260326154327
Msg Timestamp, Message, Time, Unit of Measurement, Timing Source, Event Level, Event Identifier
43137407709,INIT,491574,US,NETRUN,ROOT,null
43137407709,INIT,234978,US,BACKEND,ROOT,RPC (load binary) time
43137407709,INIT,234483,US,BACKEND,ROOT,QNN accelerator (load binary) time
43137407709,INIT,27878,US,BACKEND,ROOT,Accelerator (load binary) time
43137407709,INIT,21364,US,BACKEND,ROOT,Accelerator (load binary) time
43137407709,INIT,21492,US,BACKEND,ROOT,Accelerator (load binary) time
43137407709,INIT,33535,US,BACKEND,ROOT,Accelerator (load binary) time
43137407709,INIT,19225,US,BACKEND,ROOT,Accelerator (load binary) time
43137407709,INIT,19195,US,BACKEND,ROOT,Accelerator (load binary) time
43137407709,INIT,26234,US,BACKEND,ROOT,Accelerator (load binary) time
43137407709,INIT,19205,US,BACKEND,ROOT,Accelerator (load binary) time
43137407709,INIT,19249,US,BACKEND,ROOT,Accelerator (load binary) time
43137407709,INIT,25118,US,BACKEND,ROOT,Accelerator (load binary) time
43137407709,INIT,491534,US,BACKEND,ROOT,QNN (load binary) time
0,COMPOSE GRAPHS,0,US,NETRUN,ROOT,null
43137707670,DE-INIT,232944,US,NETRUN,ROOT,null
43137707670,DE-INIT,3861,US,BACKEND,ROOT,RPC (deinit) time
43137707670,DE-INIT,3145,US,BACKEND,ROOT,QNN Accelerator (deinit) time
43137707670,DE-INIT,287,US,BACKEND,ROOT,Accelerator (deinit) time
43137707670,DE-INIT,220,US,BACKEND,ROOT,Accelerator (deinit) time
43137707670,DE-INIT,239,US,BACKEND,ROOT,Accelerator (deinit) time
43137707670,DE-INIT,246,US,BACKEND,ROOT,Accelerator (deinit) time
43137707670,DE-INIT,244,US,BACKEND,ROOT,Accelerator (deinit) time
43137707670,DE-INIT,298,US,BACKEND,ROOT,Accelerator (deinit) time
43137707670,DE-INIT,332,US,BACKEND,ROOT,Accelerator (deinit) time
43137707670,DE-INIT,224,US,BACKEND,ROOT,Accelerator (deinit) time
43137707670,DE-INIT,228,US,BACKEND,ROOT,Accelerator (deinit) time
43137707670,DE-INIT,729,US,BACKEND,ROOT,Accelerator (deinit) time
43137707670,DE-INIT,232929,US,BACKEND,ROOT,QNN (deinit) time
43137442022,EXECUTE,2995,US,NETRUN,ROOT,Graph 0: token_ar1_cl2048_1_of_4
43137442022,EXECUTE,4,COUNT,BACKEND,ROOT,Number of HVX threads used
43137442022,EXECUTE,1726,US,BACKEND,ROOT,RPC (execute) time
43137442022,EXECUTE,1191,US,BACKEND,ROOT,QNN accelerator (execute) time
43137442022,EXECUTE,1136,US,BACKEND,ROOT,Accelerator (execute) time
43137442022,EXECUTE,16,US,BACKEND,ROOT,Accelerator (execute excluding wait) time
43137442022,EXECUTE,2982,US,BACKEND,ROOT,QNN (execute) time
43137444462,EXECUTE,565,US,NETRUN,ROOT,Graph 0: token_ar1_cl2048_1_of_4
43137444462,EXECUTE,4,COUNT,BACKEND,ROOT,Number of HVX threads used
43137444462,EXECUTE,540,US,BACKEND,ROOT,RPC (execute) time
43137444462,EXECUTE,85,US,BACKEND,ROOT,QNN accelerator (execute) time
43137444462,EXECUTE,51,US,BACKEND,ROOT,Accelerator (execute) time
43137444462,EXECUTE,6,US,BACKEND,ROOT,Accelerator (execute excluding wait) time
43137444462,EXECUTE,561,US,BACKEND,ROOT,QNN (execute) time
43137445385,EXECUTE,634,US,NETRUN,ROOT,Graph 0: token_ar1_cl2048_1_of_4
43137445385,EXECUTE,4,COUNT,BACKEND,ROOT,Number of HVX threads used
43137445385,EXECUTE,585,US,BACKEND,ROOT,RPC (execute) time
43137445385,EXECUTE,74,US,BACKEND,ROOT,QNN accelerator (execute) time
43137445385,EXECUTE,42,US,BACKEND,ROOT,Accelerator (execute) time
43137445385,EXECUTE,5,US,BACKEND,ROOT,Accelerator (execute excluding wait) time
43137445385,EXECUTE,624,US,BACKEND,ROOT,QNN (execute) time
43137446036,EXECUTE,561,US,NETRUN,ROOT,Graph 0: token_ar1_cl2048_1_of_4
43137446036,EXECUTE,4,COUNT,BACKEND,ROOT,Number of HVX threads used
43137446036,EXECUTE,521,US,BACKEND,ROOT,RPC (execute) time
43137446036,EXECUTE,73,US,BACKEND,ROOT,QNN accelerator (execute) time
43137446036,EXECUTE,42,US,BACKEND,ROOT,Accelerator (execute) time
43137446036,EXECUTE,5,US,BACKEND,ROOT,Accelerator (execute excluding wait) time
43137446036,EXECUTE,556,US,BACKEND,ROOT,QNN (execute) time
