input log file location, C:\Users\qc_de\AppData\Local\Temp\quad-bench\out\part4_of_4_token_ar1_cl3072_4_of_4\qnn-profiling-data_0.log
qnn-profile-viewer version, v2.32.6.250402152434_116405
qnn-net-run version, v2.32.6.250402152434_116405
Backend version, v2.45.0.260326154327
Msg Timestamp, Message, Time, Unit of Measurement, Timing Source, Event Level, Event Identifier
43256085997,INIT,1812619,US,NETRUN,ROOT,null
43256085997,INIT,1290918,US,BACKEND,ROOT,RPC (load binary) time
43256085997,INIT,1278549,US,BACKEND,ROOT,QNN accelerator (load binary) time
43256085997,INIT,148776,US,BACKEND,ROOT,Accelerator (load binary) time
43256085997,INIT,90177,US,BACKEND,ROOT,Accelerator (load binary) time
43256085997,INIT,114843,US,BACKEND,ROOT,Accelerator (load binary) time
43256085997,INIT,94356,US,BACKEND,ROOT,Accelerator (load binary) time
43256085997,INIT,131690,US,BACKEND,ROOT,Accelerator (load binary) time
43256085997,INIT,129341,US,BACKEND,ROOT,Accelerator (load binary) time
43256085997,INIT,115127,US,BACKEND,ROOT,Accelerator (load binary) time
43256085997,INIT,174776,US,BACKEND,ROOT,Accelerator (load binary) time
43256085997,INIT,176841,US,BACKEND,ROOT,Accelerator (load binary) time
43256085997,INIT,99279,US,BACKEND,ROOT,Accelerator (load binary) time
43256085997,INIT,1812575,US,BACKEND,ROOT,QNN (load binary) time
0,COMPOSE GRAPHS,0,US,NETRUN,ROOT,null
43262450795,DE-INIT,482052,US,NETRUN,ROOT,null
43262450795,DE-INIT,4457,US,BACKEND,ROOT,RPC (deinit) time
43262450795,DE-INIT,3574,US,BACKEND,ROOT,QNN Accelerator (deinit) time
43262450795,DE-INIT,342,US,BACKEND,ROOT,Accelerator (deinit) time
43262450795,DE-INIT,281,US,BACKEND,ROOT,Accelerator (deinit) time
43262450795,DE-INIT,316,US,BACKEND,ROOT,Accelerator (deinit) time
43262450795,DE-INIT,408,US,BACKEND,ROOT,Accelerator (deinit) time
43262450795,DE-INIT,260,US,BACKEND,ROOT,Accelerator (deinit) time
43262450795,DE-INIT,262,US,BACKEND,ROOT,Accelerator (deinit) time
43262450795,DE-INIT,277,US,BACKEND,ROOT,Accelerator (deinit) time
43262450795,DE-INIT,262,US,BACKEND,ROOT,Accelerator (deinit) time
43262450795,DE-INIT,260,US,BACKEND,ROOT,Accelerator (deinit) time
43262450795,DE-INIT,787,US,BACKEND,ROOT,Accelerator (deinit) time
43262450795,DE-INIT,482035,US,BACKEND,ROOT,QNN (deinit) time
43256449838,EXECUTE,70401,US,NETRUN,ROOT,Graph 0: token_ar1_cl3072_4_of_4
43256449838,EXECUTE,4,COUNT,BACKEND,ROOT,Number of HVX threads used
43256449838,EXECUTE,66321,US,BACKEND,ROOT,RPC (execute) time
43256449838,EXECUTE,65661,US,BACKEND,ROOT,QNN accelerator (execute) time
43256449838,EXECUTE,65463,US,BACKEND,ROOT,Accelerator (execute) time
43256449838,EXECUTE,64308,US,BACKEND,ROOT,Accelerator (execute excluding wait) time
43256449838,EXECUTE,70378,US,BACKEND,ROOT,QNN (execute) time
43256595230,EXECUTE,68525,US,NETRUN,ROOT,Graph 0: token_ar1_cl3072_4_of_4
43256595230,EXECUTE,4,COUNT,BACKEND,ROOT,Number of HVX threads used
43256595230,EXECUTE,65492,US,BACKEND,ROOT,RPC (execute) time
43256595230,EXECUTE,64648,US,BACKEND,ROOT,QNN accelerator (execute) time
43256595230,EXECUTE,64406,US,BACKEND,ROOT,Accelerator (execute) time
43256595230,EXECUTE,64261,US,BACKEND,ROOT,Accelerator (execute excluding wait) time
43256595230,EXECUTE,68507,US,BACKEND,ROOT,QNN (execute) time
43256704989,EXECUTE,68350,US,NETRUN,ROOT,Graph 0: token_ar1_cl3072_4_of_4
43256704989,EXECUTE,4,COUNT,BACKEND,ROOT,Number of HVX threads used
43256704989,EXECUTE,65447,US,BACKEND,ROOT,RPC (execute) time
43256704989,EXECUTE,64623,US,BACKEND,ROOT,QNN accelerator (execute) time
43256704989,EXECUTE,64382,US,BACKEND,ROOT,Accelerator (execute) time
43256704989,EXECUTE,64237,US,BACKEND,ROOT,Accelerator (execute excluding wait) time
43256704989,EXECUTE,68333,US,BACKEND,ROOT,QNN (execute) time
43256809753,EXECUTE,68442,US,NETRUN,ROOT,Graph 0: token_ar1_cl3072_4_of_4
43256809753,EXECUTE,4,COUNT,BACKEND,ROOT,Number of HVX threads used
43256809753,EXECUTE,65406,US,BACKEND,ROOT,RPC (execute) time
43256809753,EXECUTE,64583,US,BACKEND,ROOT,QNN accelerator (execute) time
43256809753,EXECUTE,64346,US,BACKEND,ROOT,Accelerator (execute) time
43256809753,EXECUTE,64201,US,BACKEND,ROOT,Accelerator (execute excluding wait) time
43256809753,EXECUTE,68424,US,BACKEND,ROOT,QNN (execute) time
43256914651,EXECUTE,68295,US,NETRUN,ROOT,Graph 0: token_ar1_cl3072_4_of_4
43256914651,EXECUTE,4,COUNT,BACKEND,ROOT,Number of HVX threads used
43256914651,EXECUTE,65341,US,BACKEND,ROOT,RPC (execute) time
43256914651,EXECUTE,64510,US,BACKEND,ROOT,QNN accelerator (execute) time
43256914651,EXECUTE,64270,US,BACKEND,ROOT,Accelerator (execute) time
43256914651,EXECUTE,64116,US,BACKEND,ROOT,Accelerator (execute excluding wait) time
43256914651,EXECUTE,68279,US,BACKEND,ROOT,QNN (execute) time
43257022480,EXECUTE,68929,US,NETRUN,ROOT,Graph 0: token_ar1_cl3072_4_of_4
43257022480,EXECUTE,4,COUNT,BACKEND,ROOT,Number of HVX threads used
43257022480,EXECUTE,66105,US,BACKEND,ROOT,RPC (execute) time
43257022480,EXECUTE,64961,US,BACKEND,ROOT,QNN accelerator (execute) time
43257022480,EXECUTE,64684,US,BACKEND,ROOT,Accelerator (execute) time
43257022480,EXECUTE,64491,US,BACKEND,ROOT,Accelerator (execute excluding wait) time
43257022480,EXECUTE,68906,US,BACKEND,ROOT,QNN (execute) time
43257148707,EXECUTE,71071,US,NETRUN,ROOT,Graph 0: token_ar1_cl3072_4_of_4
43257148707,EXECUTE,4,COUNT,BACKEND,ROOT,Number of HVX threads used
43257148707,EXECUTE,67823,US,BACKEND,ROOT,RPC (execute) time
43257148707,EXECUTE,66969,US,BACKEND,ROOT,QNN accelerator (execute) time
43257148707,EXECUTE,66725,US,BACKEND,ROOT,Accelerator (execute) time
43257148707,EXECUTE,66570,US,BACKEND,ROOT,Accelerator (execute excluding wait) time
43257148707,EXECUTE,71050,US,BACKEND,ROOT,QNN (execute) time
43257255453,EXECUTE,70122,US,NETRUN,ROOT,Graph 0: token_ar1_cl3072_4_of_4
43257255453,EXECUTE,4,COUNT,BACKEND,ROOT,Number of HVX threads used
43257255453,EXECUTE,67355,US,BACKEND,ROOT,RPC (execute) time
43257255453,EXECUTE,66134,US,BACKEND,ROOT,QNN accelerator (execute) time
43257255453,EXECUTE,65847,US,BACKEND,ROOT,Accelerator (execute) time
43257255453,EXECUTE,65643,US,BACKEND,ROOT,Accelerator (execute excluding wait) time
43257255453,EXECUTE,70097,US,BACKEND,ROOT,QNN (execute) time
43257368738,EXECUTE,68501,US,NETRUN,ROOT,Graph 0: token_ar1_cl3072_4_of_4
43257368738,EXECUTE,4,COUNT,BACKEND,ROOT,Number of HVX threads used
43257368738,EXECUTE,65818,US,BACKEND,ROOT,RPC (execute) time
43257368738,EXECUTE,64995,US,BACKEND,ROOT,QNN accelerator (execute) time
43257368738,EXECUTE,64754,US,BACKEND,ROOT,Accelerator (execute) time
43257368738,EXECUTE,64597,US,BACKEND,ROOT,Accelerator (execute excluding wait) time
43257368738,EXECUTE,68484,US,BACKEND,ROOT,QNN (execute) time
43257475681,EXECUTE,68523,US,NETRUN,ROOT,Graph 0: token_ar1_cl3072_4_of_4
43257475681,EXECUTE,4,COUNT,BACKEND,ROOT,Number of HVX threads used
43257475681,EXECUTE,65713,US,BACKEND,ROOT,RPC (execute) time
