input log file location, C:\Users\qc_de\AppData\Local\Temp\quad-bench\out\part2_of_4_token_ar1_cl1024_2_of_4\qnn-profiling-data_0.log
qnn-profile-viewer version, v2.32.6.250402152434_116405
qnn-net-run version, v2.32.6.250402152434_116405
Backend version, v2.45.0.260326154327
Msg Timestamp, Message, Time, Unit of Measurement, Timing Source, Event Level, Event Identifier
43097704748,INIT,1388122,US,NETRUN,ROOT,null
43097704748,INIT,990698,US,BACKEND,ROOT,RPC (load binary) time
43097704748,INIT,977293,US,BACKEND,ROOT,QNN accelerator (load binary) time
43097704748,INIT,92463,US,BACKEND,ROOT,Accelerator (load binary) time
43097704748,INIT,65868,US,BACKEND,ROOT,Accelerator (load binary) time
43097704748,INIT,91543,US,BACKEND,ROOT,Accelerator (load binary) time
43097704748,INIT,90625,US,BACKEND,ROOT,Accelerator (load binary) time
43097704748,INIT,100862,US,BACKEND,ROOT,Accelerator (load binary) time
43097704748,INIT,127821,US,BACKEND,ROOT,Accelerator (load binary) time
43097704748,INIT,89670,US,BACKEND,ROOT,Accelerator (load binary) time
43097704748,INIT,104355,US,BACKEND,ROOT,Accelerator (load binary) time
43097704748,INIT,74033,US,BACKEND,ROOT,Accelerator (load binary) time
43097704748,INIT,136987,US,BACKEND,ROOT,Accelerator (load binary) time
43097704748,INIT,1388079,US,BACKEND,ROOT,QNN (load binary) time
0,COMPOSE GRAPHS,0,US,NETRUN,ROOT,null
43100674590,DE-INIT,331095,US,NETRUN,ROOT,null
43100674590,DE-INIT,4008,US,BACKEND,ROOT,RPC (deinit) time
43100674590,DE-INIT,3195,US,BACKEND,ROOT,QNN Accelerator (deinit) time
43100674590,DE-INIT,329,US,BACKEND,ROOT,Accelerator (deinit) time
43100674590,DE-INIT,241,US,BACKEND,ROOT,Accelerator (deinit) time
43100674590,DE-INIT,259,US,BACKEND,ROOT,Accelerator (deinit) time
43100674590,DE-INIT,254,US,BACKEND,ROOT,Accelerator (deinit) time
43100674590,DE-INIT,247,US,BACKEND,ROOT,Accelerator (deinit) time
43100674590,DE-INIT,252,US,BACKEND,ROOT,Accelerator (deinit) time
43100674590,DE-INIT,251,US,BACKEND,ROOT,Accelerator (deinit) time
43100674590,DE-INIT,247,US,BACKEND,ROOT,Accelerator (deinit) time
43100674590,DE-INIT,255,US,BACKEND,ROOT,Accelerator (deinit) time
43100674590,DE-INIT,757,US,BACKEND,ROOT,Accelerator (deinit) time
43100674590,DE-INIT,331080,US,BACKEND,ROOT,QNN (deinit) time
43097989280,EXECUTE,38352,US,NETRUN,ROOT,Graph 0: token_ar1_cl1024_2_of_4
43097989280,EXECUTE,4,COUNT,BACKEND,ROOT,Number of HVX threads used
43097989280,EXECUTE,36010,US,BACKEND,ROOT,RPC (execute) time
43097989280,EXECUTE,35272,US,BACKEND,ROOT,QNN accelerator (execute) time
43097989280,EXECUTE,35068,US,BACKEND,ROOT,Accelerator (execute) time
43097989280,EXECUTE,33943,US,BACKEND,ROOT,Accelerator (execute excluding wait) time
43097989280,EXECUTE,38330,US,BACKEND,ROOT,QNN (execute) time
43098048070,EXECUTE,35878,US,NETRUN,ROOT,Graph 0: token_ar1_cl1024_2_of_4
43098048070,EXECUTE,4,COUNT,BACKEND,ROOT,Number of HVX threads used
43098048070,EXECUTE,34604,US,BACKEND,ROOT,RPC (execute) time
43098048070,EXECUTE,33809,US,BACKEND,ROOT,QNN accelerator (execute) time
43098048070,EXECUTE,33565,US,BACKEND,ROOT,Accelerator (execute) time
43098048070,EXECUTE,33412,US,BACKEND,ROOT,Accelerator (execute excluding wait) time
43098048070,EXECUTE,35861,US,BACKEND,ROOT,QNN (execute) time
43098093819,EXECUTE,36199,US,NETRUN,ROOT,Graph 0: token_ar1_cl1024_2_of_4
43098093819,EXECUTE,4,COUNT,BACKEND,ROOT,Number of HVX threads used
43098093819,EXECUTE,35231,US,BACKEND,ROOT,RPC (execute) time
43098093819,EXECUTE,34391,US,BACKEND,ROOT,QNN accelerator (execute) time
43098093819,EXECUTE,34151,US,BACKEND,ROOT,Accelerator (execute) time
43098093819,EXECUTE,34005,US,BACKEND,ROOT,Accelerator (execute excluding wait) time
43098093819,EXECUTE,36187,US,BACKEND,ROOT,QNN (execute) time
43098140878,EXECUTE,35748,US,NETRUN,ROOT,Graph 0: token_ar1_cl1024_2_of_4
43098140878,EXECUTE,4,COUNT,BACKEND,ROOT,Number of HVX threads used
43098140878,EXECUTE,34655,US,BACKEND,ROOT,RPC (execute) time
43098140878,EXECUTE,33849,US,BACKEND,ROOT,QNN accelerator (execute) time
43098140878,EXECUTE,33598,US,BACKEND,ROOT,Accelerator (execute) time
43098140878,EXECUTE,33445,US,BACKEND,ROOT,Accelerator (execute excluding wait) time
43098140878,EXECUTE,35730,US,BACKEND,ROOT,QNN (execute) time
43098188257,EXECUTE,36020,US,NETRUN,ROOT,Graph 0: token_ar1_cl1024_2_of_4
43098188257,EXECUTE,4,COUNT,BACKEND,ROOT,Number of HVX threads used
43098188257,EXECUTE,35060,US,BACKEND,ROOT,RPC (execute) time
