input log file location, C:\Users\qc_de\AppData\Local\Temp\quad-bench\out\part3_of_4_prompt_ar128_cl3072_3_of_4\qnn-profiling-data_0.log
qnn-profile-viewer version, v2.32.6.250402152434_116405
qnn-net-run version, v2.32.6.250402152434_116405
Backend version, v2.45.0.260326154327
Msg Timestamp, Message, Time, Unit of Measurement, Timing Source, Event Level, Event Identifier
43218019631,INIT,1383749,US,NETRUN,ROOT,null
43218019631,INIT,997578,US,BACKEND,ROOT,RPC (load binary) time
43218019631,INIT,985953,US,BACKEND,ROOT,QNN accelerator (load binary) time
43218019631,INIT,96398,US,BACKEND,ROOT,Accelerator (load binary) time
43218019631,INIT,89377,US,BACKEND,ROOT,Accelerator (load binary) time
43218019631,INIT,64556,US,BACKEND,ROOT,Accelerator (load binary) time
43218019631,INIT,79129,US,BACKEND,ROOT,Accelerator (load binary) time
43218019631,INIT,68880,US,BACKEND,ROOT,Accelerator (load binary) time
43218019631,INIT,108585,US,BACKEND,ROOT,Accelerator (load binary) time
43218019631,INIT,120085,US,BACKEND,ROOT,Accelerator (load binary) time
43218019631,INIT,135100,US,BACKEND,ROOT,Accelerator (load binary) time
43218019631,INIT,86274,US,BACKEND,ROOT,Accelerator (load binary) time
43218019631,INIT,134107,US,BACKEND,ROOT,Accelerator (load binary) time
43218019631,INIT,1383702,US,BACKEND,ROOT,QNN (load binary) time
0,COMPOSE GRAPHS,0,US,NETRUN,ROOT,null
43228194941,DE-INIT,355327,US,NETRUN,ROOT,null
43228194941,DE-INIT,4109,US,BACKEND,ROOT,RPC (deinit) time
43228194941,DE-INIT,3231,US,BACKEND,ROOT,QNN Accelerator (deinit) time
43228194941,DE-INIT,330,US,BACKEND,ROOT,Accelerator (deinit) time
43228194941,DE-INIT,242,US,BACKEND,ROOT,Accelerator (deinit) time
43228194941,DE-INIT,263,US,BACKEND,ROOT,Accelerator (deinit) time
43228194941,DE-INIT,243,US,BACKEND,ROOT,Accelerator (deinit) time
43228194941,DE-INIT,252,US,BACKEND,ROOT,Accelerator (deinit) time
43228194941,DE-INIT,242,US,BACKEND,ROOT,Accelerator (deinit) time
43228194941,DE-INIT,250,US,BACKEND,ROOT,Accelerator (deinit) time
43228194941,DE-INIT,260,US,BACKEND,ROOT,Accelerator (deinit) time
43228194941,DE-INIT,241,US,BACKEND,ROOT,Accelerator (deinit) time
43228194941,DE-INIT,789,US,BACKEND,ROOT,Accelerator (deinit) time
43228194941,DE-INIT,355313,US,BACKEND,ROOT,QNN (deinit) time
43218479076,EXECUTE,142524,US,NETRUN,ROOT,Graph 0: prompt_ar128_cl3072_3_of_4
43218479076,EXECUTE,4,COUNT,BACKEND,ROOT,Number of HVX threads used
43218479076,EXECUTE,135916,US,BACKEND,ROOT,RPC (execute) time
43218479076,EXECUTE,134967,US,BACKEND,ROOT,QNN accelerator (execute) time
43218479076,EXECUTE,134716,US,BACKEND,ROOT,Accelerator (execute) time
43218479076,EXECUTE,133567,US,BACKEND,ROOT,Accelerator (execute excluding wait) time
43218479076,EXECUTE,142493,US,BACKEND,ROOT,QNN (execute) time
43219168129,EXECUTE,137923,US,NETRUN,ROOT,Graph 0: prompt_ar128_cl3072_3_of_4
43219168129,EXECUTE,4,COUNT,BACKEND,ROOT,Number of HVX threads used
43219168129,EXECUTE,134952,US,BACKEND,ROOT,RPC (execute) time
43219168129,EXECUTE,134107,US,BACKEND,ROOT,QNN accelerator (execute) time
43219168129,EXECUTE,133851,US,BACKEND,ROOT,Accelerator (execute) time
43219168129,EXECUTE,133415,US,BACKEND,ROOT,Accelerator (execute excluding wait) time
43219168129,EXECUTE,137905,US,BACKEND,ROOT,QNN (execute) time
43219348880,EXECUTE,137797,US,NETRUN,ROOT,Graph 0: prompt_ar128_cl3072_3_of_4
43219348880,EXECUTE,4,COUNT,BACKEND,ROOT,Number of HVX threads used
43219348880,EXECUTE,134513,US,BACKEND,ROOT,RPC (execute) time
43219348880,EXECUTE,133647,US,BACKEND,ROOT,QNN accelerator (execute) time
43219348880,EXECUTE,133400,US,BACKEND,ROOT,Accelerator (execute) time
43219348880,EXECUTE,133256,US,BACKEND,ROOT,Accelerator (execute excluding wait) time
43219348880,EXECUTE,137776,US,BACKEND,ROOT,QNN (execute) time
43219531576,EXECUTE,137663,US,NETRUN,ROOT,Graph 0: prompt_ar128_cl3072_3_of_4
43219531576,EXECUTE,4,COUNT,BACKEND,ROOT,Number of HVX threads used
43219531576,EXECUTE,134117,US,BACKEND,ROOT,RPC (execute) time
43219531576,EXECUTE,133286,US,BACKEND,ROOT,QNN accelerator (execute) time
43219531576,EXECUTE,133058,US,BACKEND,ROOT,Accelerator (execute) time
43219531576,EXECUTE,132918,US,BACKEND,ROOT,Accelerator (execute excluding wait) time
43219531576,EXECUTE,137644,US,BACKEND,ROOT,QNN (execute) time
