input log file location, C:\Users\qc_de\AppData\Local\Temp\quad-bench\out\part4_of_4_token_ar1_cl1024_4_of_4\qnn-profiling-data_0.log
qnn-profile-viewer version, v2.32.6.250402152434_116405
qnn-net-run version, v2.32.6.250402152434_116405
Backend version, v2.45.0.260326154327
Msg Timestamp, Message, Time, Unit of Measurement, Timing Source, Event Level, Event Identifier
43130441649,INIT,1831228,US,NETRUN,ROOT,null
43130441649,INIT,1275520,US,BACKEND,ROOT,RPC (load binary) time
43130441649,INIT,1262982,US,BACKEND,ROOT,QNN accelerator (load binary) time
43130441649,INIT,145070,US,BACKEND,ROOT,Accelerator (load binary) time
43130441649,INIT,90897,US,BACKEND,ROOT,Accelerator (load binary) time
43130441649,INIT,115953,US,BACKEND,ROOT,Accelerator (load binary) time
43130441649,INIT,102310,US,BACKEND,ROOT,Accelerator (load binary) time
43130441649,INIT,134084,US,BACKEND,ROOT,Accelerator (load binary) time
43130441649,INIT,120165,US,BACKEND,ROOT,Accelerator (load binary) time
43130441649,INIT,114480,US,BACKEND,ROOT,Accelerator (load binary) time
43130441649,INIT,167948,US,BACKEND,ROOT,Accelerator (load binary) time
43130441649,INIT,171481,US,BACKEND,ROOT,Accelerator (load binary) time
43130441649,INIT,97343,US,BACKEND,ROOT,Accelerator (load binary) time
43130441649,INIT,1831180,US,BACKEND,ROOT,QNN (load binary) time
0,COMPOSE GRAPHS,0,US,NETRUN,ROOT,null
43134352094,DE-INIT,446301,US,NETRUN,ROOT,null
43134352094,DE-INIT,4545,US,BACKEND,ROOT,RPC (deinit) time
43134352094,DE-INIT,3627,US,BACKEND,ROOT,QNN Accelerator (deinit) time
43134352094,DE-INIT,381,US,BACKEND,ROOT,Accelerator (deinit) time
43134352094,DE-INIT,282,US,BACKEND,ROOT,Accelerator (deinit) time
43134352094,DE-INIT,294,US,BACKEND,ROOT,Accelerator (deinit) time
43134352094,DE-INIT,414,US,BACKEND,ROOT,Accelerator (deinit) time
43134352094,DE-INIT,275,US,BACKEND,ROOT,Accelerator (deinit) time
43134352094,DE-INIT,271,US,BACKEND,ROOT,Accelerator (deinit) time
43134352094,DE-INIT,262,US,BACKEND,ROOT,Accelerator (deinit) time
43134352094,DE-INIT,262,US,BACKEND,ROOT,Accelerator (deinit) time
43134352094,DE-INIT,263,US,BACKEND,ROOT,Accelerator (deinit) time
43134352094,DE-INIT,807,US,BACKEND,ROOT,Accelerator (deinit) time
43134352094,DE-INIT,446285,US,BACKEND,ROOT,QNN (deinit) time
43130818345,EXECUTE,51887,US,NETRUN,ROOT,Graph 0: token_ar1_cl1024_4_of_4
43130818345,EXECUTE,4,COUNT,BACKEND,ROOT,Number of HVX threads used
43130818345,EXECUTE,49346,US,BACKEND,ROOT,RPC (execute) time
43130818345,EXECUTE,48659,US,BACKEND,ROOT,QNN accelerator (execute) time
43130818345,EXECUTE,48455,US,BACKEND,ROOT,Accelerator (execute) time
43130818345,EXECUTE,47318,US,BACKEND,ROOT,Accelerator (execute excluding wait) time
43130818345,EXECUTE,51861,US,BACKEND,ROOT,QNN (execute) time
43130917268,EXECUTE,49584,US,NETRUN,ROOT,Graph 0: token_ar1_cl1024_4_of_4
43130917268,EXECUTE,4,COUNT,BACKEND,ROOT,Number of HVX threads used
43130917268,EXECUTE,48505,US,BACKEND,ROOT,RPC (execute) time
43130917268,EXECUTE,47674,US,BACKEND,ROOT,QNN accelerator (execute) time
43130917268,EXECUTE,47437,US,BACKEND,ROOT,Accelerator (execute) time
43130917268,EXECUTE,47287,US,BACKEND,ROOT,Accelerator (execute excluding wait) time
43130917268,EXECUTE,49567,US,BACKEND,ROOT,QNN (execute) time
43130977596,EXECUTE,49814,US,NETRUN,ROOT,Graph 0: token_ar1_cl1024_4_of_4
43130977596,EXECUTE,4,COUNT,BACKEND,ROOT,Number of HVX threads used
43130977596,EXECUTE,48568,US,BACKEND,ROOT,RPC (execute) time
43130977596,EXECUTE,47739,US,BACKEND,ROOT,QNN accelerator (execute) time
43130977596,EXECUTE,47492,US,BACKEND,ROOT,Accelerator (execute) time
43130977596,EXECUTE,47340,US,BACKEND,ROOT,Accelerator (execute excluding wait) time
43130977596,EXECUTE,49798,US,BACKEND,ROOT,QNN (execute) time
43131037303,EXECUTE,49570,US,NETRUN,ROOT,Graph 0: token_ar1_cl1024_4_of_4
43131037303,EXECUTE,4,COUNT,BACKEND,ROOT,Number of HVX threads used
43131037303,EXECUTE,48578,US,BACKEND,ROOT,RPC (execute) time
43131037303,EXECUTE,47767,US,BACKEND,ROOT,QNN accelerator (execute) time
43131037303,EXECUTE,47528,US,BACKEND,ROOT,Accelerator (execute) time
43131037303,EXECUTE,47379,US,BACKEND,ROOT,Accelerator (execute excluding wait) time
43131037303,EXECUTE,49556,US,BACKEND,ROOT,QNN (execute) time
43131097440,EXECUTE,49497,US,NETRUN,ROOT,Graph 0: token_ar1_cl1024_4_of_4
43131097440,EXECUTE,4,COUNT,BACKEND,ROOT,Number of HVX threads used
43131097440,EXECUTE,48522,US,BACKEND,ROOT,RPC (execute) time
43131097440,EXECUTE,47709,US,BACKEND,ROOT,QNN accelerator (execute) time
43131097440,EXECUTE,47470,US,BACKEND,ROOT,Accelerator (execute) time
43131097440,EXECUTE,47321,US,BACKEND,ROOT,Accelerator (execute excluding wait) time
43131097440,EXECUTE,49482,US,BACKEND,ROOT,QNN (execute) time
43131157585,EXECUTE,49715,US,NETRUN,ROOT,Graph 0: token_ar1_cl1024_4_of_4
43131157585,EXECUTE,4,COUNT,BACKEND,ROOT,Number of HVX threads used
43131157585,EXECUTE,48567,US,BACKEND,ROOT,RPC (execute) time
43131157585,EXECUTE,47752,US,BACKEND,ROOT,QNN accelerator (execute) time
43131157585,EXECUTE,47508,US,BACKEND,ROOT,Accelerator (execute) time
43131157585,EXECUTE,47361,US,BACKEND,ROOT,Accelerator (execute excluding wait) time
43131157585,EXECUTE,49692,US,BACKEND,ROOT,QNN (execute) time
43131217232,EXECUTE,49518,US,NETRUN,ROOT,Graph 0: token_ar1_cl1024_4_of_4
43131217232,EXECUTE,4,COUNT,BACKEND,ROOT,Number of HVX threads used
43131217232,EXECUTE,48517,US,BACKEND,ROOT,RPC (execute) time
43131217232,EXECUTE,47705,US,BACKEND,ROOT,QNN accelerator (execute) time
43131217232,EXECUTE,47467,US,BACKEND,ROOT,Accelerator (execute) time
43131217232,EXECUTE,47319,US,BACKEND,ROOT,Accelerator (execute excluding wait) time
43131217232,EXECUTE,49501,US,BACKEND,ROOT,QNN (execute) time
43131277871,EXECUTE,49689,US,NETRUN,ROOT,Graph 0: token_ar1_cl1024_4_of_4
43131277871,EXECUTE,4,COUNT,BACKEND,ROOT,Number of HVX threads used
43131277871,EXECUTE,48509,US,BACKEND,ROOT,RPC (execute) time
43131277871,EXECUTE,47708,US,BACKEND,ROOT,QNN accelerator (execute) time
43131277871,EXECUTE,47464,US,BACKEND,ROOT,Accelerator (execute) time
