input log file location, C:\Users\qc_de\AppData\Local\Temp\quad-bench\out\part4_of_4_prompt_ar128_cl512_4_of_4\qnn-profiling-data_0.log
qnn-profile-viewer version, v2.32.6.250402152434_116405
qnn-net-run version, v2.32.6.250402152434_116405
Backend version, v2.45.0.260326154327
Msg Timestamp, Message, Time, Unit of Measurement, Timing Source, Event Level, Event Identifier
43067969367,INIT,1899587,US,NETRUN,ROOT,null
43067969367,INIT,1320573,US,BACKEND,ROOT,RPC (load binary) time
43067969367,INIT,1306589,US,BACKEND,ROOT,QNN accelerator (load binary) time
43067969367,INIT,152556,US,BACKEND,ROOT,Accelerator (load binary) time
43067969367,INIT,98885,US,BACKEND,ROOT,Accelerator (load binary) time
43067969367,INIT,123075,US,BACKEND,ROOT,Accelerator (load binary) time
43067969367,INIT,97150,US,BACKEND,ROOT,Accelerator (load binary) time
43067969367,INIT,141268,US,BACKEND,ROOT,Accelerator (load binary) time
43067969367,INIT,123529,US,BACKEND,ROOT,Accelerator (load binary) time
43067969367,INIT,113883,US,BACKEND,ROOT,Accelerator (load binary) time
43067969367,INIT,183531,US,BACKEND,ROOT,Accelerator (load binary) time
43067969367,INIT,173056,US,BACKEND,ROOT,Accelerator (load binary) time
43067969367,INIT,96500,US,BACKEND,ROOT,Accelerator (load binary) time
43067969367,INIT,1899547,US,BACKEND,ROOT,QNN (load binary) time
0,COMPOSE GRAPHS,0,US,NETRUN,ROOT,null
43077688608,DE-INIT,518396,US,NETRUN,ROOT,null
43077688608,DE-INIT,4436,US,BACKEND,ROOT,RPC (deinit) time
43077688608,DE-INIT,3541,US,BACKEND,ROOT,QNN Accelerator (deinit) time
43077688608,DE-INIT,354,US,BACKEND,ROOT,Accelerator (deinit) time
43077688608,DE-INIT,280,US,BACKEND,ROOT,Accelerator (deinit) time
43077688608,DE-INIT,302,US,BACKEND,ROOT,Accelerator (deinit) time
43077688608,DE-INIT,398,US,BACKEND,ROOT,Accelerator (deinit) time
43077688608,DE-INIT,264,US,BACKEND,ROOT,Accelerator (deinit) time
43077688608,DE-INIT,267,US,BACKEND,ROOT,Accelerator (deinit) time
43077688608,DE-INIT,261,US,BACKEND,ROOT,Accelerator (deinit) time
43077688608,DE-INIT,261,US,BACKEND,ROOT,Accelerator (deinit) time
43077688608,DE-INIT,259,US,BACKEND,ROOT,Accelerator (deinit) time
43077688608,DE-INIT,778,US,BACKEND,ROOT,Accelerator (deinit) time
43077688608,DE-INIT,518379,US,BACKEND,ROOT,QNN (deinit) time
43068389524,EXECUTE,116860,US,NETRUN,ROOT,Graph 0: prompt_ar128_cl512_4_of_4
