input log file location, C:\Users\qc_de\AppData\Local\Temp\quad-bench\out\part3_of_4_token_ar1_cl1024_3_of_4\qnn-profiling-data_0.log
qnn-profile-viewer version, v2.32.6.250402152434_116405
qnn-net-run version, v2.32.6.250402152434_116405
Backend version, v2.45.0.260326154327
Msg Timestamp, Message, Time, Unit of Measurement, Timing Source, Event Level, Event Identifier
43110977554,INIT,1343357,US,NETRUN,ROOT,null
43110977554,INIT,973771,US,BACKEND,ROOT,RPC (load binary) time
43110977554,INIT,960339,US,BACKEND,ROOT,QNN accelerator (load binary) time
43110977554,INIT,98089,US,BACKEND,ROOT,Accelerator (load binary) time
43110977554,INIT,89203,US,BACKEND,ROOT,Accelerator (load binary) time
43110977554,INIT,64891,US,BACKEND,ROOT,Accelerator (load binary) time
43110977554,INIT,80655,US,BACKEND,ROOT,Accelerator (load binary) time
43110977554,INIT,68967,US,BACKEND,ROOT,Accelerator (load binary) time
43110977554,INIT,100488,US,BACKEND,ROOT,Accelerator (load binary) time
43110977554,INIT,113004,US,BACKEND,ROOT,Accelerator (load binary) time
43110977554,INIT,129622,US,BACKEND,ROOT,Accelerator (load binary) time
43110977554,INIT,84361,US,BACKEND,ROOT,Accelerator (load binary) time
43110977554,INIT,127718,US,BACKEND,ROOT,Accelerator (load binary) time
43110977554,INIT,1343312,US,BACKEND,ROOT,QNN (load binary) time
0,COMPOSE GRAPHS,0,US,NETRUN,ROOT,null
43114034749,DE-INIT,338649,US,NETRUN,ROOT,null
43114034749,DE-INIT,4633,US,BACKEND,ROOT,RPC (deinit) time
43114034749,DE-INIT,3215,US,BACKEND,ROOT,QNN Accelerator (deinit) time
43114034749,DE-INIT,323,US,BACKEND,ROOT,Accelerator (deinit) time
43114034749,DE-INIT,242,US,BACKEND,ROOT,Accelerator (deinit) time
43114034749,DE-INIT,253,US,BACKEND,ROOT,Accelerator (deinit) time
43114034749,DE-INIT,245,US,BACKEND,ROOT,Accelerator (deinit) time
43114034749,DE-INIT,250,US,BACKEND,ROOT,Accelerator (deinit) time
43114034749,DE-INIT,249,US,BACKEND,ROOT,Accelerator (deinit) time
43114034749,DE-INIT,263,US,BACKEND,ROOT,Accelerator (deinit) time
43114034749,DE-INIT,252,US,BACKEND,ROOT,Accelerator (deinit) time
43114034749,DE-INIT,244,US,BACKEND,ROOT,Accelerator (deinit) time
43114034749,DE-INIT,788,US,BACKEND,ROOT,Accelerator (deinit) time
43114034749,DE-INIT,338629,US,BACKEND,ROOT,QNN (deinit) time
43111296962,EXECUTE,39200,US,NETRUN,ROOT,Graph 0: token_ar1_cl1024_3_of_4
43111296962,EXECUTE,4,COUNT,BACKEND,ROOT,Number of HVX threads used
43111296962,EXECUTE,36635,US,BACKEND,ROOT,RPC (execute) time
43111296962,EXECUTE,35967,US,BACKEND,ROOT,QNN accelerator (execute) time
43111296962,EXECUTE,35767,US,BACKEND,ROOT,Accelerator (execute) time
43111296962,EXECUTE,34638,US,BACKEND,ROOT,Accelerator (execute excluding wait) time
43111296962,EXECUTE,39178,US,BACKEND,ROOT,QNN (execute) time
43111359538,EXECUTE,36556,US,NETRUN,ROOT,Graph 0: token_ar1_cl1024_3_of_4
43111359538,EXECUTE,4,COUNT,BACKEND,ROOT,Number of HVX threads used
43111359538,EXECUTE,35418,US,BACKEND,ROOT,RPC (execute) time
43111359538,EXECUTE,34601,US,BACKEND,ROOT,QNN accelerator (execute) time
43111359538,EXECUTE,34357,US,BACKEND,ROOT,Accelerator (execute) time
43111359538,EXECUTE,34213,US,BACKEND,ROOT,Accelerator (execute excluding wait) time
43111359538,EXECUTE,36538,US,BACKEND,ROOT,QNN (execute) time
43111407193,EXECUTE,36914,US,NETRUN,ROOT,Graph 0: token_ar1_cl1024_3_of_4
43111407193,EXECUTE,4,COUNT,BACKEND,ROOT,Number of HVX threads used
43111407193,EXECUTE,35864,US,BACKEND,ROOT,RPC (execute) time
43111407193,EXECUTE,35013,US,BACKEND,ROOT,QNN accelerator (execute) time
43111407193,EXECUTE,34784,US,BACKEND,ROOT,Accelerator (execute) time
43111407193,EXECUTE,34646,US,BACKEND,ROOT,Accelerator (execute excluding wait) time
43111407193,EXECUTE,36900,US,BACKEND,ROOT,QNN (execute) time
43111456438,EXECUTE,36512,US,NETRUN,ROOT,Graph 0: token_ar1_cl1024_3_of_4
43111456438,EXECUTE,4,COUNT,BACKEND,ROOT,Number of HVX threads used
43111456438,EXECUTE,35459,US,BACKEND,ROOT,RPC (execute) time
43111456438,EXECUTE,34563,US,BACKEND,ROOT,QNN accelerator (execute) time
43111456438,EXECUTE,34325,US,BACKEND,ROOT,Accelerator (execute) time
43111456438,EXECUTE,34181,US,BACKEND,ROOT,Accelerator (execute excluding wait) time
43111456438,EXECUTE,36496,US,BACKEND,ROOT,QNN (execute) time
43111505280,EXECUTE,37115,US,NETRUN,ROOT,Graph 0: token_ar1_cl1024_3_of_4
43111505280,EXECUTE,4,COUNT,BACKEND,ROOT,Number of HVX threads used
43111505280,EXECUTE,35978,US,BACKEND,ROOT,RPC (execute) time
43111505280,EXECUTE,35165,US,BACKEND,ROOT,QNN accelerator (execute) time
43111505280,EXECUTE,34945,US,BACKEND,ROOT,Accelerator (execute) time
43111505280,EXECUTE,34809,US,BACKEND,ROOT,Accelerator (execute excluding wait) time
43111505280,EXECUTE,37097,US,BACKEND,ROOT,QNN (execute) time
43111561929,EXECUTE,36736,US,NETRUN,ROOT,Graph 0: token_ar1_cl1024_3_of_4
